newid,cohort,star,cltype,schidkn,pscore,classid,cs,female,white,sage,drop,free_lunch
120107,1,1,1,35,.98824322,10300,24,0,1,5,0,0
138029,1,1,1,28,2.0151188,8100,15,1,0,5.25,1,1
155840,1,1,1,32,2.129472,9328,16,1,0,5.5,1,1
86683,1,1,1,50,2.2515795,14700,17,1,0,5,1,1
176187,1,1,1,55,3.0105927,16400,21,1,1,5,0,1
98906,1,1,1,45,3.3160181,13300,24,0,0,5,0,1
163017,1,1,1,26,3.3175881,7500,17,1,0,5,1,1
73099,1,1,1,26,3.3175881,7500,17,0,0,5,1,1
178233,1,1,1,35,3.4867246,10400,25,0,1,5,1,1
35083,1,1,1,25,3.9426913,7200,17,0,0,5,1,1
133015,1,1,1,49,4.2728081,14400,16,1,0,5.75,1,1
113872,1,1,1,45,4.2728081,13200,15,1,0,5.5,0,1
25495,1,1,1,9,4.4472175,2507,13,0,1,5.75,0,1
123294,1,1,1,66,4.4472175,19565,14,0,1,5.25,1,1
97914,1,1,1,56,4.608345,16551,16,1,0,5,1,1
76123,1,1,1,2,4.7336383,400,16,1,0,5,0,1
26327,1,1,1,50,4.7336383,14700,17,0,1,5.75,1,1
50145,1,1,1,45,4.775012,13200,15,0,0,5.5,0,1
4063,1,1,1,71,4.8994818,21072,16,1,1,5.5,0,0
107050,1,1,1,59,5.1780825,17456,13,0,1,5,0,0
186185,1,1,1,16,5.3614316,4512,17,1,0,5,0,1
6171,1,1,1,45,5.3994818,13200,15,0,0,5,0,1
19435,1,1,1,2,5.3994818,500,19,0,0,5,1,1
117451,1,1,1,56,5.3994818,16550,15,1,1,5,1,0
48635,1,1,1,16,5.3994818,4513,17,1,0,5,0,1
24477,1,1,1,16,5.4024382,4513,17,0,0,5.25,1,1
146105,1,1,1,56,5.4024382,16648,23,0,0,5,0,1
26569,1,1,1,26,5.4450336,7500,17,1,0,5,0,1
180393,1,1,1,53,5.6904283,15600,15,0,1,6,1,1
168446,1,1,1,32,5.7188225,9328,16,0,0,5.25,0,0
128568,1,1,1,48,6.0291109,14300,21,0,1,4.75,0,1
88969,1,1,1,39,6.0320673,11437,12,0,1,6,0,1
175385,1,1,1,50,6.0320673,14700,17,0,1,6,1,1
48270,1,1,1,26,6.1515551,7500,17,0,0,5.25,0,1
79595,1,1,1,28,6.658741,8100,15,1,0,5,0,1
97367,1,1,1,79,6.8200579,23180,15,0,1,5.75,0,1
119035,1,1,1,56,7.1178732,16551,16,0,1,5,1,0
182641,1,1,1,26,7.1639009,7500,17,1,0,5.5,0,1
8617,1,1,1,5,7.2893014,1400,24,1,1,5,0,0
145840,1,1,1,2,7.3007164,400,16,1,1,5.5,1,1
138828,1,1,1,56,7.3007164,16550,15,0,1,6.25,1,1
102422,1,1,1,56,7.4496875,16551,16,0,1,5.75,1,0
102278,1,1,1,56,7.4921131,16550,15,0,1,5.75,1,1
129517,1,1,1,28,7.8978662,8127,15,1,0,5.25,0,1
90026,1,1,1,22,8.3016472,6423,22,1,0,5,1,1
176993,1,1,1,75,8.4231606,22200,16,0,1,5.5,1,0
24619,1,1,1,22,8.4231606,6526,22,1,0,5,0,1
4889,1,1,1,7,8.4231606,1903,17,0,1,6,0,1
21420,1,1,1,56,8.4231606,16551,16,1,1,5.25,0,0
171260,1,1,1,75,8.6217422,22366,23,0,1,5.25,1,1
18593,1,1,1,45,8.9312763,13200,15,1,0,5.5,1,1
83753,1,1,1,55,9.5609064,16200,13,1,1,5,1,0
163290,1,1,1,37,9.6340885,10834,16,1,0,5,1,0
153404,1,1,1,32,9.6340885,9328,16,0,0,5.25,0,1
12840,1,1,1,61,9.6922655,18060,13,0,1,5.75,0,1
59312,1,1,1,66,9.905654,19565,14,0,1,6.5,0,1
82414,1,1,1,38,10.136709,11200,17,0,1,5.25,0,1
26412,1,1,1,5,10.136709,1400,24,0,1,5.25,1,1
154779,1,1,1,32,10.285153,9328,16,1,0,5,0,1
155385,1,1,1,4,10.649055,1200,24,1,1,5,0,0
11834,1,1,1,35,10.911827,10200,17,1,1,6,0,1
129163,1,1,1,48,11.011524,14146,12,0,1,5,1,0
94398,1,1,1,39,11.011524,11436,12,0,1,5.25,0,1
112336,1,1,1,32,11.149055,9329,16,0,0,5.5,1,1
150858,1,1,1,56,11.149055,16550,15,0,0,6,1,1
155664,1,1,1,75,11.432348,22367,24,0,1,6.5,1,1
132445,1,1,1,64,11.432348,18964,33,1,1,6.25,1,0
96826,1,1,1,53,11.432348,15700,23,1,1,5,0,0
51303,1,1,1,54,11.535323,16100,22,1,1,4.75,1,1
130314,1,1,1,62,11.875721,18300,17,0,1,5,0,0
108503,1,1,1,2,11.875721,400,16,1,0,4.75,0,0
80462,1,1,1,8,11.875721,2206,17,0,1,6.25,0,0
62876,1,1,1,71,11.875721,21072,16,0,1,5.25,0,0
166089,1,1,1,56,11.875721,16550,15,0,1,5,0,1
69942,1,1,1,76,11.876793,22579,17,1,1,5.75,1,0
15390,1,1,1,56,11.985902,16550,15,0,1,5.25,0,0
32922,1,1,1,9,12.343966,2509,12,0,1,6,1,1
131430,1,1,1,26,12.676247,7600,17,0,0,5.75,0,1
87366,1,1,1,5,12.676247,1400,24,0,1,5.75,1,1
143070,1,1,1,12,12.676247,3600,23,0,1,5.25,1,1
114767,1,1,1,2,12.776848,500,19,0,0,5.5,1,1
7999,1,1,1,37,12.807819,10834,16,1,0,5.5,1,1
89438,1,1,1,2,13.05029,400,16,0,0,6.25,0,1
132073,1,1,1,75,13.05029,22366,23,0,1,5,1,0
19612,1,1,1,36,13.05029,10532,13,0,1,5.25,0,0
121228,1,1,1,34,13.208162,9931,15,0,1,6.25,1,0
175761,1,1,1,75,13.208162,22200,16,1,1,5.5,0,0
107424,1,1,1,25,13.208162,7200,17,0,1,5.5,1,1
122666,1,1,1,55,13.208162,16200,13,0,1,5,0,0
67278,1,1,1,56,13.813993,16550,15,1,1,5.25,0,0
105501,1,1,1,69,13.813993,20400,14,0,1,5.25,1,1
106926,1,1,1,47,13.858932,13800,14,1,1,5.25,1,1
114855,1,1,1,16,14.140261,4513,17,1,0,5.75,1,1
37872,1,1,1,34,14.140261,9900,15,0,1,5.5,1,0
109265,1,1,1,19,14.148397,5415,17,0,0,5.5,0,1
23434,1,1,1,8,14.723129,2205,16,1,1,5,0,0
48171,1,1,1,8,14.790373,2206,17,1,1,5,1,1
89229,1,1,1,4,14.836084,1000,13,1,1,5.25,1,0
72686,1,1,1,45,15.003008,13200,15,0,0,5.25,0,1
57309,1,1,1,15,15.146434,4210,13,1,0,5.25,1,1
57289,1,1,1,33,15.146434,9630,16,1,0,5,0,1
109131,1,1,1,59,15.465714,17456,13,1,1,5,0,1
119743,1,1,1,70,15.599014,20770,16,0,1,6.5,1,1
184944,1,1,1,32,15.655228,9500,24,1,0,5.5,0,1
97644,1,1,1,32,15.655228,9500,24,0,0,5.25,1,1
2647,1,1,1,40,15.655228,11738,14,1,1,5.75,0,1
