sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte1,fte2,dfte
1,1,0,1,0,1,0,0,0,0,0,16,30,4,4.5,,.25,0,80,3,7,16,.93000001,.82999998,.85000002,4,3,1,1,110592,,20,40,4,5.0500002,,,0,2,7,16,1.05,.79000002,.89999998,4,3,35,44,9
2,1,0,1,0,1,0,0,0,0,0,10,6,3,4.75,26,.5,1,80,1,7,14,1.0599999,.91000003,.95999998,2,2,1,1,110592,,7.5,10,3,5.25,19,.38,1,1,7,15,1.05,1.01,.94,2,2,16,15.5,-.5
3,2,0,1,0,1,0,0,0,0,3,6,13,3,4.25,13,.25,1,50,2,11,10,1.0599999,.94999999,3.0899999,5,3,1,1,111792,2,4,7,3,5.0500002,26,.25,0,1,11,11,1.05,.94,2.75,5,3,15.5,10.5,-5
4,3,0,1,0,1,0,0,0,0,0,10,12,3,4.75,4,.25,0,50,2,9,12.5,1.0599999,1,2.1300001,8,4,1,1,110592,,5,30,4,5.0500002,26,.28,0,2,8,13.5,1.22,1.37,.88999999,6,4,19,24,5
5,3,0,1,0,1,0,0,0,0,0,5,30,4,4.5,13,.17,0,,1,6,17,.94999999,,2.1300001,5,4,1,1,111892,2,10,30,4,5.1500001,4,.18000001,0,2,6,17,1.05,.94,.94,5,5,24,29,5
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,.25,0,100,1,11,7,1.2,1.17,2.3499999,4,2,1,1,111792,1,5,2,2,5.0500002,13,.15000001,0,1,10,8,1.11,1.01,2.23,4,2,5,8,3
8,4,0,1,0,1,0,0,0,0,0,,25,4,4.8000002,,.15000001,0,,1,10.5,12,1.02,.91000003,2.28,2,1,1,1,110592,,15,25,3,5.0500002,26,.33000001,0,2,10,13,1.01,1.01,.94,2,2,,30.5,
9,1,0,1,0,1,0,0,0,0,2,12,40,4,4.3699999,26,.15000001,0,35,2,7,16,1.04,.67000002,.85000002,4,4,1,1,110592,,0,32,4,5.0500002,26,.13,0,2,7,16,1.11,.92000002,1.01,4,3,36,20,-16
10,1,0,1,0,1,0,0,0,0,0,15,20,4,4.25,39,.17,0,80,2,7,16,1.04,.85000002,.85000002,3,3,1,1,110592,,15,15,4,5.0500002,4,.28,0,2,7,16,.94,.87,.94,3,2,29,26.5,-2.5
11,1,0,1,0,1,0,0,0,0,2,10,30,4,4.25,26,.1,0,80,2,7,16,1.09,.88999999,.91000003,3,3,1,1,111792,1,12,24,3,5.0500002,,,0,2,7,16,1.05,.87,.94,3,2,29,27,-2
12,1,0,1,0,1,0,0,0,0,0,6.5,23.5,3,4.3699999,9,.1,0,100,2,7,16,1.05,.79000002,.91000003,3,3,1,1,111892,3,15,15,4,5.0500002,26,.25,0,3,7,16,1.01,.92000002,.94,3,2,21.25,26.5,5.25
13,2,0,1,0,1,0,0,0,0,0,0,25,3,4.5,7,.25,0,100,2,11,10,1.0599999,.94999999,2.6600001,5,4,1,1,111792,1,2,11,3,5,13,.25,0,1,11,11,1.01,.94,2.75,4,3,15.5,10.5,-5
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5.1199999,6,.25,0,0,3,11,11,1.0599999,.85000002,2.49,6,5,1,1,110592,,4,17,3,5.0500002,13,.25,1,2,11,11,1.05,.94,2.5999999,6,3,16,15.5,-.5
15,3,0,1,0,1,0,0,0,0,3,3,25,4,4.5999999,9,.15000001,1,95,2,6,17,1.02,.98000002,.94999999,5,4,2,1,121092,5,5,20,3,5.0500002,,.25,0,2,6,17,1.05,1.01,2,3,3,19.5,18,-1.5
16,3,0,1,0,1,0,0,0,0,0,6,22,4,4.5,13,.25,0,50,2,6,17,1,1,,5,5,1,1,110592,,7,17,3,5.0500002,19,.25,0,2,6,17,1.05,1.01,.94,5,5,21,18.5,-2.5
17,3,0,1,0,1,0,0,0,0,0,0,20,4,4.3699999,13,.25,0,60,2,6,17,1.0599999,1,2.02,6,5,1,1,111692,1,4,35,4,5.0500002,13,.2,0,2,6,17,1.05,.94,.94999999,6,5,14,25.5,11.5
18,3,0,1,0,1,0,0,0,0,2,15,25,3,4.25,13,,0,50,2,6,17,,,,4,4,1,1,110592,,8,38,5,5.0500002,,.25,1,2,6,17,1.05,1,.63,7,7,30.5,32,1.5
